DP TotalCurrent(IdVgp_250n3_des) X,DP TotalCurrent(IdVgp_250n3_des) Y,DN TotalCurrent(IdVgn_250n3_des) X,DN TotalCurrent(IdVgn_250n3_des) Y
0,-1.2373325e-10,0,4.5428307e-10
-,-,0.05,1.0873098e-09
-,-,0.1,2.5497096e-09
-,-,0.15,5.8248401e-09
-,-,0.2,1.2764696e-08
-,-,0.25,2.6852922e-08
-,-,0.3,5.6044796e-08
-,-,0.35,1.2352375e-07
-,-,0.4,3.1645574e-07
-,-,0.45,9.6857064e-07
-,-,0.5,2.3215959e-06
-,-,0.55,4.0414906e-06
-,-,0.6,6.5872796e-06
-,-,0.65,9.9476466e-06
-,-,0.7,1.3529847e-05
-,-,0.75,1.7096223e-05
-,-,0.8,2.1075344e-05
-,-,0.85,2.50235e-05
-,-,0.9,2.8906241e-05
-,-,0.95,3.273951e-05
-,-,1,3.6512646e-05

