DP TotalCurrent(IdVgp_600n64_des) X,DP TotalCurrent(IdVgp_600n64_des) Y,DN TotalCurrent(IdVgn_600n64_des) X,DN TotalCurrent(IdVgn_600n64_des) Y
0,-8.3229638e-07,0,4.555448e-07
-0.05,-1.5657683e-06,0.05,5.8542514e-07
-0.1,-2.7043519e-06,0.1,7.7303598e-07
-0.15,-4.2285249e-06,0.15,1.063248e-06
-0.2,-6.0434487e-06,0.2,1.5305973e-06
-0.25,-8.0819103e-06,0.25,2.2810688e-06
-0.3,-1.0196959e-05,0.3,3.4400343e-06
-0.35,-1.2432907e-05,0.35,5.1477042e-06
-0.4,-1.473248e-05,0.4,7.543663e-06
-0.45,-1.7078332e-05,0.45,1.0300207e-05
-0.5,-1.9451948e-05,0.5,1.3103958e-05
-0.55,-2.1798976e-05,0.55,1.5977905e-05
-0.6,-2.4103189e-05,0.6,1.8841933e-05
-0.65,-2.6362269e-05,0.65,2.1658615e-05
-0.7,-2.8579309e-05,0.7,2.436558e-05
-0.75,-3.0764736e-05,0.75,2.6973685e-05
-0.8,-3.2942413e-05,0.8,2.9497467e-05
-0.85,-3.5078668e-05,0.85,3.2017739e-05
-0.9,-3.7158263e-05,0.9,3.4506144e-05
-0.95,-3.9170024e-05,0.95,3.6921221e-05
-1,-4.1105683e-05,1,3.9284045e-05

