DP TotalCurrent(IdVgp_500n62_des) X,DP TotalCurrent(IdVgp_500n62_des) Y,DN TotalCurrent(IdVgn_500n62_des) X,DN TotalCurrent(IdVgn_500n62_des) Y
0,-2.3026619e-07,0,1.7811039e-07
-0.05,-5.5398699e-07,0.05,2.4771411e-07
-0.1,-1.2542202e-06,0.1,3.4299847e-07
-0.15,-2.45221e-06,0.15,4.8296292e-07
-0.2,-4.1382953e-06,0.2,7.0912827e-07
-0.25,-6.1917072e-06,0.25,1.1066457e-06
-0.3,-8.5005849e-06,0.3,1.8252397e-06
-0.35,-1.0894504e-05,0.35,3.0511134e-06
-0.4,-1.3381052e-05,0.4,4.8003254e-06
-0.45,-1.5910877e-05,0.45,7.3555076e-06
-0.5,-1.8457368e-05,0.5,1.0429156e-05
-0.55,-2.098935e-05,0.55,1.3557967e-05
-0.6,-2.349682e-05,0.6,1.6758642e-05
-0.65,-2.5958151e-05,0.65,2.0035354e-05
-0.7,-2.8368098e-05,0.7,2.3154301e-05
-0.75,-3.0730128e-05,0.75,2.6140984e-05
-0.8,-3.3050894e-05,0.8,2.89959e-05
-0.85,-3.5363994e-05,0.85,3.1738703e-05
-0.9,-3.7627919e-05,0.9,3.4511869e-05
-0.95,-3.982989e-05,0.95,3.7306732e-05
-1,-4.1969861e-05,1,4.0034259e-05

