DP TotalCurrent(IdVgp_300n58_des) X,DP TotalCurrent(IdVgp_300n58_des) Y,DN TotalCurrent(IdVgn_300n58_des) X,DN TotalCurrent(IdVgn_300n58_des) Y
0,-1.4211694e-09,0,3.5606557e-09
-0.05,-5.7158998e-09,0.05,7.2218586e-09
-0.1,-2.7741759e-08,0.1,1.4302149e-08
-0.15,-1.4750266e-07,0.15,2.7426986e-08
-0.2,-6.7510668e-07,0.2,5.0519618e-08
-0.25,-1.8681879e-06,0.25,9.1208548e-08
-0.3,-3.7373127e-06,0.3,1.687691e-07
-0.35,-6.2794983e-06,0.35,3.4251654e-07
-0.4,-9.1149649e-06,0.4,8.0456895e-07
-0.45,-1.1970337e-05,0.45,1.9489177e-06
-0.5,-1.4897676e-05,0.5,3.6307531e-06
-0.55,-1.781668e-05,0.55,5.9670434e-06
-0.6,-2.0771298e-05,0.6,9.2584037e-06
-0.65,-2.3661147e-05,0.65,1.2903976e-05
-0.7,-2.655326e-05,0.7,1.6542659e-05
-0.75,-2.9410928e-05,0.75,2.0428721e-05
-0.8,-3.2221412e-05,0.8,2.4312786e-05
-0.85,-3.4981044e-05,0.85,2.8116415e-05
-0.9,-3.771191e-05,0.9,3.1772282e-05
-0.95,-4.050623e-05,0.95,3.5301769e-05
-1,-4.3289966e-05,1,3.897855e-05

