DP TotalCurrent(IdVgp_450n61_des) X,DP TotalCurrent(IdVgp_450n61_des) Y,DN TotalCurrent(IdVgn_450n61_des) X,DN TotalCurrent(IdVgn_450n61_des) Y
0,-9.7292817e-08,0,9.6256107e-08
-0.05,-2.6073685e-07,0.05,1.4264262e-07
-0.1,-7.1087672e-07,0.1,2.0731812e-07
-0.15,-1.6525742e-06,0.15,3.003164e-07
-0.2,-3.1436242e-06,0.2,4.4607117e-07
-0.25,-5.1383189e-06,0.25,7.0129591e-07
-0.3,-7.4720942e-06,0.3,1.1915267e-06
-0.35,-9.9693824e-06,0.35,2.1298929e-06
-0.4,-1.255961e-05,0.4,3.6531063e-06
-0.45,-1.518955e-05,0.45,5.7722667e-06
-0.5,-1.7814996e-05,0.5,8.7806403e-06
-0.55,-2.0452027e-05,0.55,1.2099619e-05
-0.6,-2.3054084e-05,0.6,1.5386018e-05
-0.65,-2.5629329e-05,0.65,1.8839937e-05
-0.7,-2.8150869e-05,0.7,2.2243051e-05
-0.75,-3.0618579e-05,0.75,2.5436965e-05
-0.8,-3.3022776e-05,0.8,2.8479818e-05
-0.85,-3.5394861e-05,0.85,3.1446525e-05
-0.9,-3.7769459e-05,0.9,3.4374689e-05
-0.95,-4.0088784e-05,0.95,3.7384192e-05
-1,-4.2351459e-05,1,4.0318761e-05

